日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,216,62,ps6,55,37,0,1,1,39,37,33,67.27%,100.00%,89.19%,60.00%,0,0,,,0,0,0,0,0
2020-12-30,216,66,万能五笔,191,148,0,0,0,148,105,91,77.49%,70.95%,86.67%,47.64%,0,0,,,0,0,0,0,0
2020-12-30,216,287,CAJ全文阅读器 CAJViewer,400,327,0,0,0,327,202,191,81.75%,61.77%,94.55%,47.75%,0,0,,,0,0,0,6,3.14%
2020-12-30,216,18,QQpc版,576,404,12,6,5,427,234,206,72.22%,56.25%,88.03%,35.76%,0,0,,,0,0,0,16,7.77%
2020-12-30,216,110,QQ影音,273,183,15,31,7,236,142,117,72.53%,71.72%,82.39%,42.86%,0,0,,,0,0,0,0,0
2020-12-30,216,246,TeamViewer,445,341,0,0,0,341,259,233,76.63%,75.95%,89.96%,52.36%,0,0,,,0,0,0,0,0
2020-12-30,216,536,香肠派对,494,330,0,0,0,330,185,151,66.80%,56.06%,81.62%,30.57%,0,0,,,0,0,0,7,4.64%
2020-12-30,216,68,flash 非 ie,1831,1403,0,0,0,1403,1030,907,76.62%,73.41%,88.06%,49.54%,0,0,,,0,0,0,131,14.44%
2020-12-30,216,387,CCTalk,191,155,0,0,0,155,117,106,81.15%,75.48%,90.60%,55.50%,0,0,,,0,0,0,7,6.60%
2020-12-30,216,225,钉钉,427,295,10,5,5,315,200,183,71.43%,65.57%,91.50%,42.86%,0,0,,,0,0,0,10,5.46%
2020-12-30,216,37,阿里旺旺买家版,964,826,15,3,7,851,648,593,87.24%,77.05%,91.51%,61.51%,0,0,,,0,0,0,19,3.20%
2020-12-30,216,41,搜狗五笔输入法,502,426,0,0,0,426,302,267,84.86%,70.89%,88.41%,53.19%,0,0,,,0,0,0,8,3.00%
2020-12-30,216,25,winrar解压软件,577,450,2,0,0,452,377,343,78.34%,83.41%,90.98%,59.45%,0,0,,,0,0,0,7,2.04%
2020-12-30,216,102,芒果TV,111,63,0,0,0,63,49,40,56.76%,77.78%,81.63%,36.04%,0,0,,,0,0,0,0,0
2020-12-30,216,64,金山打字通,2616,1639,0,0,0,1639,1021,923,62.65%,62.29%,90.40%,35.28%,0,0,,,0,0,0,35,3.79%
2020-12-30,216,35,网易云音乐,426,144,0,0,0,144,96,86,33.80%,66.67%,89.58%,20.19%,0,0,,,0,0,0,0,0
2020-12-30,216,361,CAD快速看图,340,301,0,0,0,301,216,191,88.53%,71.76%,88.43%,56.18%,0,0,,,0,0,0,0,0
2020-12-30,216,305,荒野行动pc版,257,157,0,0,0,157,107,101,61.09%,68.15%,94.39%,39.30%,0,0,,,0,0,0,0,0
2020-12-30,216,518,雷电模拟器,628,421,0,0,0,421,344,316,67.04%,81.71%,91.86%,50.32%,0,0,,,0,0,0,0,0
2020-12-30,216,42,QQ五笔,16,14,0,0,0,14,24,20,87.50%,171.43%,83.33%,125.00%,0,0,,,0,0,0,0,0
2020-12-30,216,76,千牛,1403,970,23,16,14,1023,654,599,70.78%,65.86%,91.59%,42.69%,0,0,,,0,0,0,18,3.01%
2020-12-30,216,554,微师,206,144,0,0,0,144,108,98,69.90%,75.00%,90.74%,47.57%,0,0,,,0,0,0,0,0
2020-12-30,216,162,网易邮箱大师,39,33,0,0,0,33,20,18,84.62%,60.61%,90.00%,46.15%,0,0,,,0,0,0,0,0
2020-12-30,216,215,极品五笔输入法,1661,1352,0,0,0,1352,938,823,81.40%,69.38%,87.74%,49.55%,0,0,,,0,0,0,25,3.04%
